STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
2963,"WELL OF RIICO AT LEATHER COMPLEX, MANPUR MACHERI, JAIPUR, RAJASTHAN",Rajasthan,25,25,25,7.8,8.2,8,550,580,565,0.6,0.8,0.7,0.38,1,0,4,4,4,4,9,7
2964,"WELL AT INDIA PUBLIC SCHOOL, MANPUR MACHERI, JAIPUR, RAJASTHAN",Rajasthan,20,27,24,7.5,8.5,8,970,1060,1015,0.8,1.8,1.3,0.42,0,0,NA,NA,NA,4,4,4
2965,"SHRI GIRDHARI SINGH CHOUDHARY NEAR BANDI RIVER BRIDGE, PALI BYE PASS ROAD, PALI, RAJASTHAN",Rajasthan,24,26,25,7.8,8.2,8,195,7100,3648,3.1,8.6,5.9,10.5,11,3,NA,NA,NA,4,4,4
2966,"SHRI GIRDHARI SINGH RAJPUROHIT NEAR VILLAGE PUNAYATA, JODHPUR- SUMERPUR BYE PASS ROAD, PALI, RAJASTHAN",Rajasthan,24,25,25,8.3,8.7,8.5,2100,10900,6500,1.3,3.1,2.2,8.3,8,2,4,4,4,4,7,6
2967,"SH. POL SINGH PUROHIT, VILLAGE PUNAYATA, PALI, RAJASTHAN",Rajasthan,24,24,24,7.8,8.7,8.3,2000,10400,6200,1.2,2.6,1.9,4.6,5,1,4,4,4,4,9,7
2968,"SH. BHANA RAM KALAL, DHARU NAGAR, NEAR MAIN MANDIA ROAD, OPP. VILLAGE MANDIA, PALI, RAJASTHAN",Rajasthan,23,24,24,8.1,8.6,8.4,10900,13700,12300,1.8,3.6,2.7,4.9,5,4,4,4,4,4,9,7
2969,"M/S SPECIALTY SILICA LTD., MIA ALWAR AGRO FOOD PARK, ALWAR, RAJASTHAN",Rajasthan,28,28,28,7,7.5,7.3,870,1330,1100,1.4,2.7,2,2.36,2,2,4,4,4,4,7,6
2970,"RIICO TUBE WELL, RIA, BEHROR, RAJASTHAN",Rajasthan,27,28,28,7.5,8.2,7.9,1450,1900,1675,0.8,2.4,1.6,3.07,3,2,NA,NA,NA,4,4,4
2971,"RIICO TUBE WELL, RIA, NEEMRANA, RAJASTHAN",Rajasthan,28,28,28,7.6,8,7.8,1900,2000,1950,0.6,3,1.8,1.2,1,1,NA,NA,NA,4,4,4
2972,"RIICO TUBE WELL, RIA, SOTANALA, RAJASTHAN",Rajasthan,26,28,27,7.6,8.4,8,2000,2500,2250,0.3,2,1.2,1.24,1,1,4,4,4,4,7,6
2973,"RIICO TUBE WELL, RIA, SHAHJAHANPUR, RAJASTHAN",Rajasthan,27,27,27,7.8,8.3,8,1630,1700,1665,0.7,2.2,1.5,1.76,2,1,4,4,4,4,7,6
2974,"VILLAGE AGYARA, TEHSIL- RAMGARH, ALWAR, RAJASTHAN",Rajasthan,25,28,27,7.7,8.2,7.9,1460,3700,2580,0.6,0.7,0.7,1.82,2,2,4,4,4,4,7,6
2975,"VILLAGE BAGER MEO, TEHSIL- RAMGARH, ALWAR, RAJASTHAN",Rajasthan,27,28,28,7.4,8.2,7.8,1500,3900,2700,0.7,2,1.4,2.9,3,2,4,4,4,4,14,9
2976,"SUJAN GANGA, BHARATPUR, RAJASTHAN",Rajasthan,24,28,26,7.4,8.1,7.8,6500,6800,6650,2.5,6.2,4.3,1.02,2,1,14,14,14,93,93,93
2977,"WELL OF RAM CHANDRA DEWRA, VILLAGE- SANGARIA, JODHPUR, RAJASTHAN",Rajasthan,22,24,23,7.7,8,7.8,20000,23000,21500,5.5,7.9,6.7,7.4,7,6,4,4,4,4,7,6
2982,"WELL OF BIRMA RAM PATEL, SALAWAS, JODHPUR, RAJASTHAN",Rajasthan,22,22,22,7.5,8,7.7,1210,1360,1285,1.5,2,1.8,0.48,0,0,4,4,4,9,9,9
2985,"WELL OF GIRDHARI RAM MEGHWAL, VILLAGE- NANDWAN, JODHPUR, RAJASTHAN",Rajasthan,22,23,23,7.1,7.6,7.4,13300,14800,14050,2.1,9.3,5.7,7.2,7,4,4,4,4,4,14,9
2986,"TUBE WELL OF GIRDHARI LAL, BHITUJA, RAJASTHAN",Rajasthan,24,26,25,7.3,8.3,7.8,7600,13400,10500,2.2,3.7,3,3.1,3,2,NA,NA,NA,4,4,4
2987,"CWR OF PHED, BHITUJA, RAJASTHAN",Rajasthan,24,24,24,7.4,8,7.7,7900,11600,9750,1.8,2.8,2.3,14.5,15,5,NA,NA,NA,4,4,4
2988,"WELL OF PEMA RAM MALI, BHITUJA, RAJASTHAN",Rajasthan,24,26,25,7.3,8,7.6,7800,11000,9400,1.7,2.8,2.3,5.1,5,3,NA,NA,NA,4,9,7
2989,"WELL OF BABULAL UKKAD JI MALI, SAKARNA BERA, BALOTRA, , JODHPUR, RAJASTHAN",Rajasthan,26,27,27,7.2,8.2,7.7,19000,22000,20500,2.3,4.5,3.4,14.5,15,11,4,4,4,4,9,7
2990,"WELL OF BHIKSINGH S/O AMAR SINGH PUROHIT, SAKARNA BERA, BALOTRA, JODHPUR, RAJASTHAN",Rajasthan,26,26,26,7.3,7.9,7.6,9500,20000,14750,1.4,3.5,2.5,3.6,5,4,4,4,4,4,4,4
2991,"WELL OF BHAG JI LAXMAN RAM MALI, SAKARNA BERA, BALOTRA, JODHPUR, RAJASTHAN",Rajasthan,26,26,26,7.5,8,7.7,10200,10200,10200,2.2,3,2.6,5.1,5,2,4,4,4,4,7,6
2993,"WELL OF CHOUTHA RAM PUSA PAM, LEFT SIDE OF BRIDGE LUNI, BALOTRA, RAJASTHAN",Rajasthan,24,24,24,7.3,7.8,7.5,8100,22000,15050,1.8,8.6,5.2,12,12,1,NA,NA,NA,4,4,4
2999,"BORE WELL SH. PREM CHAND, VILLAGE PHALSHA MODE RIA CHOPNADI, RAJASTHAN",Rajasthan,25,26,26,7.9,7.9,7.9,1210,1660,1435,0.8,4.9,2.9,1.4,1,1,4,4,4,4,9,7
3000,"BORE WELL SH. UMESH KUMAR S/O SH. HORIDWARI RAM 3A-16 UIT, BHUTIJA, RAJASTHAN",Rajasthan,25,27,26,7.3,7.9,7.6,3400,3600,3500,1.1,4.2,2.7,1.2,1,1,4,4,4,4,9,7
3001,"BORE WELL SH. BHRAM JEET SERVICE STATION, BHIWADI, RAJASTHAN",Rajasthan,27,27,27,7.6,8,7.8,1780,1800,1790,0.9,1.2,1,2.68,3,2,4,4,4,4,9,7
3002,"BORE WELL M/S R.C. PALACE HOTEL, BHIWADI, RAJASTHAN",Rajasthan,25,26,26,7.9,8.3,8.1,850,860,855,0.6,2.2,1.4,3.04,3,2,4,4,4,4,7,6
3003,"BORE WELL OFFICE OF RAJ. HOUSING BOARD, BHIWADI, RAJASTHAN",Rajasthan,26,27,27,7.6,8.1,7.8,2700,3000,2850,1.6,2.7,2.1,3.07,3,2,4,4,4,4,9,7
3004,"BORE WELL OF M/S MODERN PUBLIC SCHOOL, BHIWADI, RAJASTHAN",Rajasthan,26,28,27,7.7,8.4,8,1000,1700,1350,0.7,1.1,0.9,0.62,1,1,4,4,4,4,9,7
3006,"HAND PUMP NEAR NEVTA TIRAHA, NEVTA DAM, SANGANER, JAIPUR, RAJASTHAN",Rajasthan,20,26,23,8,8.4,8.2,2000,2100,2050,0.9,1.8,1.3,0.32,2,0,3,4,4,4,9,7
1898,"PETROL PUMP OPP. HERO CYCLE, LUDHIANA",PUNJAB,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,0.7,1,1,NA,NA,NA,NA,NA,NA
1899,"BHAGWAN SINGH, H.NO.907, DASMESH NAGAR, GALI NO. 6, LUDHIANA",PUNJAB,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,0.8,1,1,NA,NA,NA,NA,NA,NA
1900,"GURCHAARAN SINGH HAIBOWAL DAIRY COMPLEX, LUDHIANA",PUNJAB,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,1.1,1.22,1,NA,NA,NA,NA,NA,NA
1901,"DUSSHERA GROUND INDUSTRIAL ESTATE, LUDHIANA",PUNJAB,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,0.9,1,1,NA,NA,NA,NA,NA,NA
1902,"SHUKLA TEA STAL POINT, LUDHIANA",PUNJAB,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,0.5,1.05,1,NA,NA,NA,NA,NA,NA
1903,"PUNJAB AGRICULTUREAL UNIVERSITY, LUDHIANA",PUNJAB,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,0.3,1.33,1.05,NA,NA,NA,NA,NA,NA
1644,"JAGATPUR INDUSTRIAL AREA, CUTTACK ORISSA",ORISSA,29,32,31,6.1,8.2,7.2,280,610,445,0.4,0.6,0.5,2.983,10,3,2,23,13,8,23,16
1645,"MADHUPATNA- KALYAN NAGAR AREA, CUTTACK, ORISSA",ORISSA,29,31,30,6.8,8.5,7.7,435,642,539,0.3,0.5,0.4,2.269,5,2,2,2,2,2,2,2
1646,"BIDANASHI - TULASIPUR AREA, CUTTACK, ORISSA",ORISSA,28,31,30,7.3,8.1,7.7,143,159,151,0.3,0.5,0.4,0.856,1,0,2,2,2,2,2,2
1647,"BADAMBARI AREA, CUTTACK, ORISSA",ORISSA,28,32,30,7.1,8.4,7.8,254,284,269,0.2,0.4,0.3,1.114,1,1,2,2,2,2,2,2
1648,"RANIHAT- MANGALABAGH AREA, CUTTACK, ORISSA",ORISSA,29,31,30,7.3,8.4,7.9,241,261,251,0.2,0.4,0.3,0.797,1,0,2,4,3,2,13,8
1649,"KHANDAGIRI AREA, BHUBANESWAR, ORISSA",ORISSA,30,31,31,5.3,6.9,6.1,260,377,319,0.3,0.3,0.3,8.585,9,9,2,2,2,2,2,2
1650,"CAPITAL HOSPITAL AREA, BHUBANESWAR, ORISSA",ORISSA,28,29,29,6.5,7.4,7,228,289,259,0.9,1.2,1.1,2.64,3,1,2,2,2,2,2,2
1651,"OLD TOWN- SAMANTARAAIPUR AREA, BHUBANESWAR, ORISSA",ORISSA,30,31,31,6.5,7.5,7,489,819,654,0.4,0.8,0.6,9.169,9,8,33,33,33,2,2,2
1652,"KALPNA - LAXMINAGAR AREA, BHUBANESWAR, ORISSA",ORISSA,28,31,30,7.1,7.3,7.2,227,232,230,0.1,0.2,0.2,5.508,6,5,2,2,2,2,2,2
1653,"MANCHESWAR INDUSTRIAL AREA, BHUBANESWAR, ORISSA",ORISSA,27,31,29,6.5,7.8,7.2,115,255,185,0.4,1.1,0.8,1.907,5,2,2,2,2,2,2,2
1654,"SECRETARIAT- GOVERNOR HOUSE- OLDBUS STAND AREA, BHUBANESWAR, ORISSA",ORISSA,28,28,28,6.5,7.5,7,98,179,139,0.6,0.9,0.8,4.652,5,2,23,23,23,2,2,2
1655,"NEAR SEA BEACH, PURI, ORISSA",ORISSA,26,26,26,7.1,7.6,7.4,390,1056,723,0.3,1.2,0.8,1.45,11,1,2,240,121,8,14,11
1656,"NEAR JAGANNATH TEMPLE, PURI, ORISSA",ORISSA,25,27,26,7,8.4,7.7,1160,1450,1305,0.6,1.5,1.1,0.509,13,1,8,49,29,8,23,16
1657,"HOSPITAL - BUSSTAND- MAUSHIMA TEMPLE AREA, PURI, ORISSA",ORISSA,25,30,28,7.1,8.2,7.7,734,855,795,0.3,2.2,1.3,9.556,10,2,2,5,4,2,13,8
1658,"NEAR RIVER KUSHABHADRA, PURI, ORISSA",ORISSA,26,26,26,7.1,7.9,7.5,390,850,620,0.6,1.2,0.9,1.45,11,1,2,540,271,8,27,18
1634,DREAMLAND (SPRING),Meghalaya,17,18,18,6.6,6.9,6.8,195,220,208,2.6,3,2.8,8,8,8,21,23,22,39,43,41
1635,MAWLAI MAWPDANG (SPRING),Meghalaya,18,20,19,5.1,5.7,5.3,220,250,230,1.2,4.2,2.2,15.1,15,15,28,31,30,52,58,56
1636,NARBONG,Meghalaya,20,22,21,6.5,6.5,6.5,200,240,220,1,1.4,1.2,6.8,6.8,6.8,17,22,20,34,41,38
1637,WAH-U-DKHAR,Meghalaya,17,19,18,6.5,6.6,6.6,75,87,81,0.5,0.6,0.6,6,6,6,9,12,11,17,26,22
1638,UMSAHEP,Meghalaya,15,20,18,6,6.6,6.3,120,131,126,0.5,0.6,0.6,7.2,7,7,8,11,10,13,17,15
3385,"MAWTHADRISHAN WELL AT MARKASA, WEST KHASI HILLS",Meghalaya,16,18,17,6.8,7,6.9,30,34,31,1,1.2,1.1,2.8,2.8,2.8,4,9,6,21,29,24
3386,"JAKREM HOT SPRING AT JAKREM, WEST KHASI HILLS",Meghalaya,46,50,47,9.5,9.7,9.6,330,342,338,1,1,1,0.8,0.8,0.8,2,8,6,9,10,9
2054,RAMHLUM (NORTHERN PART),Mizoram,16,22,20,5.3,8.3,6.6,11,435,164,1,2.8,1.3,0.079,0.079,0.079,NA,NA,NA,NA,NA,NA
2055,MISSION VENGTHLANG (SOUTHERN PART),Mizoram,15,22,19,6.7,8.8,7.5,11,533,219,0.2,1.2,0.8,0.082,0.082,0.082,NA,NA,NA,NA,NA,NA
2004,"Bore well at Parvati Industrial Estate.Village-Yadrav, Taluka- Shirol, District- Kolhapur    ",Maharashtra,NA,NA,NA,7.4,7.4,7.4,2066,2066,2066,2.2,2.2,2.2,1.62,2,2,NA,NA,NA,70,70,70
2005,"Bore well at Khanjirenagar. Village-Khanjirenagar, Taluka- Hatkanangale, District- Kolhapur                   ",Maharashtra,NA,NA,NA,7.6,7.6,7.6,1498,1498,1498,2.4,2.4,2.4,1.38,1,1,NA,NA,NA,90,90,90
2006,"Bore well at MIDC, Shiroli. Village-Shinoli, Taluka- Chandgad, District- Kolhapur                   ",Maharashtra,NA,NA,NA,7.1,7.1,7.1,191,191,191,2.8,2.8,2.8,1.18,1,1,NA,NA,NA,70,70,70
2007,"Bore well  at Savali, near Gram Panchayat office. Village-Savali,Taluka- Miraj, District- Sangli.  ",Maharashtra,25,25,25,7.2,7.2,7.2,2183,2183,2183,2.2,2.2,2.2,1.9,2,2,2,2,2,90,90,90
2008,"Dug well at  Rusulwadi-Sambarwadi. Village- Sambarwadi, Taluka- Miraj,  District- Sangli.     ",Maharashtra,25,25,25,7.5,7.5,7.5,1275,1275,1275,2.4,2.4,2.4,3.16,3,3,2,2,2,110,110,110
2202,"Dug well at Ghane Kunt, near Awashi, owned by Shri.Rajendra  Amre. Village- Ghane Kunt, Taluka- Khed, District- Ratnagiri.",Maharashtra,27,27,27,6.9,6.9,6.9,173,173,173,2.4,2.4,2.4,0.84,1,1,NA,NA,NA,80,80,80
2829,"Bore well at MIDC Shiroli nearM/s Pratibha Enterprises. Village- Shiroli, Taluka- Hatkanangale,District- Kolhapur.",Maharashtra,NA,NA,NA,7.9,7.9,7.9,967,967,967,2,2,2,2.04,2,2,NA,NA,NA,90,90,90
2830,"Bore well at MIDC Gokul-Shirgaon. Village- Gokul-Shirgaon, Taluka- Karvir, District- Kolhapur.",Maharashtra,NA,NA,NA,7.5,7.5,7.5,397,397,397,2.4,2.4,2.4,1.68,2,2,NA,NA,NA,80,80,80
2831,"Dug well at Sakharali, near MIDC Islampur near Krishna Milk Industry. Village- Sakharali,Taluka- Walwa,District- Sangli.",Maharashtra,25,25,25,8,8,8,455,455,455,2.4,2.4,2.4,0.88,1,1,2,2,2,80,80,80
2832,"Dug well No.1 at Brahmanwadi-Anjanwel,owned by Shri. Vaidya. Village- Anjanwel,Taluka- Guhagar, District- Ratnagiri.",Maharashtra,28,28,28,7.1,7.1,7.1,86,86,86,2.8,2.8,2.8,0.56,1,1,NA,NA,NA,90,90,90
2833,"Dug well No.-1 at Group Gram Panchayat at Arketwadi, near Masjid Village- Arketwadi,Taluka- Khed, District- Ratnagiri.",Maharashtra,28,28,28,7.8,7.8,7.8,307,307,307,2,2,2,0.74,1,1,NA,NA,NA,70,70,70
2834,"Dug well No.2 at Arketwadi.Village- Arketwadi, Taluka- Khed, District- Ratnagiri.",Maharashtra,28,28,28,7.2,7.2,7.2,187,187,187,2.2,2.2,2.2,1.36,1,1,NA,NA,NA,60,60,60
2835,"Dug well No. 2, owned by  Group Gram Panchayat, Brahmanwadi- Anjanwel. Village- Anjanwel, Taluka- Guhagar, District- Ratnagiri.",Maharashtra,28,28,28,7.2,7.2,7.2,89,89,89,2.8,2.8,2.8,1.58,2,2,NA,NA,NA,90,90,90
1993,"Dug well at Village-Pandharpur , Taluka- Gangapur, District- Aurangabad  ",Maharashtra,28,28,28,7.6,7.6,7.6,673,673,673,4,4,4,0.057,0,0,3,3,3,70,70,70
2200,"Bore well at Katpur, near Z.PSchool.Village- Katpur,Taluka- Paithan,District- Aurangabad.",Maharashtra,30,30,30,7,7,7,2968,2968,2968,3,3,3,0.126,0,0,2,2,2,90,90,90
2201,"Dug well at Ranjangaon. Village- Ranjangaon, Taluka- Gangapur, District- Aurangabad.",Maharashtra,28,28,28,7.5,7.5,7.5,2032,2032,2032,5,5,5,0.186,0,0,3,3,3,80,80,80
2474,UNCHAHAAR (NEAR THERMAL POWER PLANT,Maharashtra,20,22,21,7.7,7.9,7.8,611,801,706,NA,NA,NA,0.28,0,0,NA,NA,NA,NA,NA,NA
2475,"INDUSTRIAL AREA, SULTANPUR ROAD",Maharashtra,21,22,22,8,8.1,8,661,751,706,NA,NA,NA,0.46,0,0,NA,NA,NA,NA,NA,NA
2825,"Bore well at Wahegaon, near Zilla Parishet School. Village- Wahegaon, Taluka- Paithan,District- Aurangabad.",Maharashtra,28,28,28,7.9,7.9,7.9,1954,1954,1954,4,4,4,0.135,0,0,3,3,3,80,80,80
1986,Bore well at Village- Motapada Taluka- Dahanu District- Thane,Maharashtra,27,27,27,8.5,8.5,8.5,880,880,880,4,4,4,0.1,0,0,13,13,13,20,20,20
1987,Bore well Village-Gokhiware Taluka- Vasai District- Thane ,Maharashtra,22,22,22,7.3,7.3,7.3,878,878,878,4,4,4,0.9,1,1,11,11,11,20,20,20
1988,"Bore well at Gharatwadi, Village- Aliyali Taluka- Palghar District- Thane",Maharashtra,27,27,27,8.3,8.3,8.3,1154,1154,1154,4.2,4.2,4.2,0.4,0,0,9,9,9,17,17,17
1990,"Bore well at BMW Site Village-Burudgaon , Taluka- Ahmednagar, District- Ahmednagar.  ",Maharashtra,25,25,25,7.7,7.7,7.7,1218,1218,1218,3.2,3.2,3.2,4.91,5,5,NA,NA,NA,NA,NA,NA
1991,"Bore  well at MSW Site, Village-Pathardi , Taluka- Nashik, District- Nashik                    ",Maharashtra,26,26,26,7.7,7.7,7.7,981,981,981,2.8,2.8,2.8,4.97,5,5,34,34,34,110,110,110
1997,"Bore well near Primary Health Centre. Village-Raipur, Taluka- Hingna, District- Nagpur       ",Maharashtra,30,30,30,8.3,8.3,8.3,1360,1360,1360,4.6,4.6,4.6,2.98,3,3,11,11,11,21,21,21
1999,"Bore well Near Gram Panchayat office. Village-Changera, Taluka- Gondia, District- Gondia.",Maharashtra,28,28,28,7.8,7.8,7.8,1006,1006,1006,7,7,7,2.24,2,2,17,17,17,22,22,22
2002,"Bore well Opp. Gajanan Maharaj Temple at  Anjangaon road. Village-Anjangaon, Taluka- Akot, District- Akola                   ",Maharashtra,27,27,27,8.3,8.3,8.3,540,540,540,6,6,6,2.24,2,2,11,11,11,26,26,26
2827,"Bore well Near Railway crossing at Dongri Buzurg. Village- Dongri-Buzurg, Taluka- Tumsar,District- Bandara.",Maharashtra,22,22,22,7.8,7.8,7.8,892,892,892,6.8,6.8,6.8,2.37,2,2,170,170,170,280,280,280
1985,"Dug well at 5 -Star Industrial estate, Village-Kashimira Taluka- Mira-  Bhayander District-Thane ",Maharashtra,22,22,22,7.9,7.9,7.9,1517,1517,1517,4.2,4.2,4.2,1,1,1,17,17,17,30,30,30
1994,"Dug well at TPS-Durgapur Village-Durgapur , Taluka- Chandrapur, District- Chandrapur                   ",Maharashtra,22,22,22,8.1,8.1,8.1,810,810,810,5,5,5,1.399,1,1,23,23,23,30,30,30
1995,"Gram Panchayath Dug well , Near Balaji Gajbhiye CHouse, Village-Khaperkheda ( Ward No.4) , Taluka- Saoner, District- Nagpur     ",Maharashtra,22,22,22,8.2,8.2,8.2,810,810,810,5.8,5.8,5.8,4.43,4,4,14,14,14,26,26,26
1996,"Gram Panchayath Dug well , Near Jagadamba G M S Mandir Sahakari Sanstha Village-Koradi, Taluka- Kamptee, District- Nagpur",Maharashtra,27,27,27,7.9,7.9,7.9,1094,1094,1094,6.8,6.8,6.8,7.8,8,8,13,13,13,22,22,22
1998,"Gram Panchayat Dug well near Gram Panchayat Office. Village-Brahmni, Taluka- Kalmeshwar, District- Nagpur",Maharashtra,22,22,22,7.7,7.7,7.7,1502,1502,1502,8,8,8,4.43,4,4,11,11,11,27,27,27
2000,"Dug well near Sarode Kirana Store. Village-Bhandewadi, Taluka- Nagpur, District- Nagpur.",Maharashtra,27,27,27,7.6,7.6,7.6,1016,1016,1016,7,7,7,8.26,8,8,26,26,26,33,33,33
2003,"Dug well at Plot No- 4, Street No. 49-C, at Nehru Bal Udyan Azad Maidan, owned by Yavatmal M.C. Village- Nehru Bal Udyan Azad Maidan, Taluka- Yavatmal, District- Yavatmal.",Maharashtra,20,20,20,8.8,8.8,8.8,1310,1310,1310,5.8,5.8,5.8,10.3,10,10,13,13,13,21,21,21
2204,"Dug well at Gunjalwadi, Sangamner near Primary Health Care Center. Village- Gunjalwadi, Taluka- Sangamner, District- Ahmadnagar.",Maharashtra,26,26,26,8.1,8.1,8.1,614,614,614,2.8,2.8,2.8,3.25,3,3,NA,NA,NA,NA,NA,NA
2819,"Dug well owned by Shri Deshmukh. Village- Malegaon, Taluka- Baramati, District- Pune.",Maharashtra,28,28,28,8.2,8.2,8.2,2515,2515,2515,4.6,4.6,4.6,6.6,7,7,30,30,30,425,425,425
2826,"Dug well near Railway station, Cotton Market. Village- Wardha city, Taluka- Wardha,District- Wardha.",Maharashtra,22,22,22,8.2,8.2,8.2,898,898,898,5.2,5.2,5.2,10.1,10,10,11,11,11,30,30,30
2828,"Dug well  near Jilla Parishet Primary school, Visapur. Village- Visapur, Taluka- Ballarpur,District- Chandrapur.",Maharashtra,22,22,22,8.2,8.2,8.2,498,498,498,5,5,5,3.22,3,3,9,9,9,14,14,14
2203,"Hand Pump in the premises of Zilla Parishad Primary School. Village- Bhugaon,  Taluka- Wardha, District- Wardha.",Maharashtra,23,23,23,8.2,8.2,8.2,692,692,692,5.6,5.6,5.6,1.55,2,2,11,11,11,70,70,70
1989,"Bore well at MWML site, Village-Karawla, Taloja Taluka- Panvel District- Raigad",Maharashtra,28,28,28,8.4,8.4,8.4,233,233,233,3.8,3.8,3.8,0.1,0,0,25,25,25,45,45,45
2820,"Dug well owned by Shri Shivaji Baban Darekar Village- Sanaswadi, Taluka- Shirur, District- Pune.",Maharashtra,22,24,23,8.7,8.9,8.8,615,1022,840,3.4,4,3.7,0.43,10.2,5,14,30,23,275,350,325
1616,"OPEN WELL/TUBE WELL INDUSTRIAL AREA, GOVINDPURA, BHOPAL, M.P",Madhya Pradesh,24,24,24,7.9,7.9,7.9,1730,1730,1730,6.2,6.2,6.2,0.1,0,0,NA,NA,NA,NA,NA,NA
1617,"OPEN WELL/TUBE WELL INDUSTRIAL AREA MANDIDEEP, DISTT. RAISEN, M.P",Madhya Pradesh,27,27,27,6.8,6.8,6.8,277,277,277,1.7,1.7,1.7,12.05,12,12,NA,NA,NA,22,22,22
1618,"GROUND WATER SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR, M.P",Madhya Pradesh,29,34,32,7.4,7.4,7.4,910,950,930,1.2,1.4,1.3,0.64,1,1,NA,NA,NA,NA,NA,NA
1619,"GROUND WATER SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR, M.P",Madhya Pradesh,29,29,29,7.3,7.3,7.3,850,850,850,1.3,1.3,1.3,0.43,0,0,NA,NA,NA,NA,NA,NA
2143,"KATHODA, JABALPUR",Madhya Pradesh,21,21,21,7.3,7.5,7.4,410,447,429,1.9,5,3.5,0.46,0,1,NA,NA,NA,NA,NA,NA
2144,"MADAI GRAM, JABALPUR",Madhya Pradesh,19,19,19,7.5,7.5,7.5,392,392,392,0.9,0.9,0.9,0.46,0,0,NA,NA,NA,NA,NA,NA
2145,"MEHATWAS, NAGDA",Madhya Pradesh,NA,NA,NA,7.5,7.5,7.5,2220,2220,2220,2,2,2,4.28,5.08,4.75,NA,NA,NA,NA,NA,NA
2146,"BHAGATPURI VILLAGE, NAGDA",Madhya Pradesh,7.8,7.8,7.8,7.8,7.8,7.8,5630,5630,5630,1.2,1.2,1.2,6,6.32,6.15,NA,NA,NA,NA,NA,NA
2148,"DOSIGAON, RATLAM",Madhya Pradesh,29,29,29,8.1,8.1,8.1,2220,2220,2220,1.8,1.8,1.8,2,2.15,2.06,NA,NA,NA,NA,NA,NA
2149,"CULVERT ON A.B. ROAD, MAKSI",Madhya Pradesh,30,30,30,7.6,7.6,7.6,1068,1068,1068,1.4,1.4,1.4,2.64,3,3,NA,NA,NA,NA,NA,NA
2153,"IBRAHIMGANJ NEAR BUS STAND, BHOPAL",Madhya Pradesh,25,25,25,8.1,8.1,8.1,1710,1710,1710,6.4,6.4,6.4,0,0,0,NA,NA,NA,NA,NA,NA
3327,TUBE WELL/ HAND PUMP AT INDL AREA SEONI NEAR BARAPATTHAR,Madhya Pradesh,23,23,23,7.4,7.4,7.4,340,340,340,1,1,1,0,0.22,0.11,NA,NA,NA,NA,NA,NA
3335,"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA RECHHAI, JABALPUR",Madhya Pradesh,18,22,20,7.1,7.8,7.5,478,486,482,1.4,1.4,1.4,0,0.15,0.09,NA,NA,NA,75,75,75
3336,"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA, CHHINDWARA",Madhya Pradesh,21,21,21,7.2,7.2,7.2,471,471,471,1,1,1,0.43,0.97,0.68,NA,NA,NA,NA,NA,NA
3338,"HAND PUMP NEAR PANCHAYAT BHAWAN, VILLAGE TINAWALI RAIRU",Madhya Pradesh,29,29,29,7.4,7.4,7.4,280,280,280,0.9,0.9,0.9,0.5,1,1,NA,NA,NA,NA,NA,NA
2759,"DUGWELL AT GAGHWAL(KATHUA DISTT), J&K",Jammu & Kashmir,14,27,21,6.4,6.8,6.6,460,487,474,NA,NA,NA,0.424,1.03,1,NA,NA,NA,NA,NA,NA
2760,"MALADHAR TALAB(POND)HATLI (KATHUA), J&K",Jammu & Kashmir,13,28,21,6.2,6.8,6.5,312,320,316,NA,NA,NA,0.65,1,1,NA,NA,NA,NA,NA,NA
2761,"TUBE WELL KATHUA SICOP INDUSTRIAL AREA KATHUA, J&K",Jammu & Kashmir,12,28,20,6.2,6.2,6.2,92,92,92,NA,NA,NA,0.914,1,1,NA,NA,NA,NA,NA,NA
